what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726361328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726362657
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1495726362670
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495726364216
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1495726365193
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495726367304
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1495726369003
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1495726369052
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1495726369756
error,log,,,"Internal Error",1495726369793
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495726370294
activated,perspective,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui.cPerspective",1495726373781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726374711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726421700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495726436782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495727571015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495727576270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495727632304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495727634310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495727649736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495727661654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495727775424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495727779347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495727781116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495727876557
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495727881253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495727899830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495727905421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728254018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728262657
